1058042554	20210810	202108	2021	2021.6027											COL	COLOMBIA	COL								0	061	061	06	2	6.4	1	1	1	-1.24031007751938	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20220810144500	https://www.dw.com/en/eu-ban-on-russian-coal-imports-comes-into-force/a-62765311
1058042555	20210810	202108	2021	2021.6027											RUS	RUSSIA	RUS								1	061	061	06	2	6.4	8	1	8	-1.57232704402515	0								1	Germany	GM	GM		51.5	10.5	GM	1	Russia	RS	RS		60	100	RS	20220810144500	https://www.offshore-technology.com/news/europe-set-to-be-short-of-diesel-fuel-in-winter/
1058042556	20210810	202108	2021	2021.6027	AUS	AUSTRALIA	AUS								COL	COLOMBIA	COL								0	061	061	06	2	6.4	4	1	4	-1.24031007751938	4	Braemar, New South Wales, Australia	AS	AS02	5111	-34.4333	150.483	-1561376	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	20220810144500	https://www.dw.com/en/eu-ban-on-russian-coal-imports-comes-into-force/a-62765311
1058042557	20210810	202108	2021	2021.6027	AUS	AUSTRALIA	AUS								COL	COLOMBIA	COL								0	061	061	06	2	6.4	2	1	2	-1.24031007751938	4	Braemar, New South Wales, Australia	AS	AS02	5111	-34.4333	150.483	-1561376	1	Poland	PL	PL		52	20	PL	1	Poland	PL	PL		52	20	PL	20220810144500	https://www.dw.com/en/eu-ban-on-russian-coal-imports-comes-into-force/a-62765311
1058042558	20210810	202108	2021	2021.6027	FRA	FRANCE	FRA								EUR	EUROPEAN	EUR								1	071	071	07	2	7.4	2	1	2	0	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20220810144500	https://www.bnnbloomberg.ca/french-infrastructure-investor-meridiam-weighs-stake-sale-1.1803991
1058042559	20210810	202108	2021	2021.6027	GHA	GHANA	GHA								USA	UNITED STATES	USA								1	016	016	01	1	-2.0	4	1	4	-3.84615384615384	4	Akosombo, Ghana (general), Ghana	GH	GH00	190612	6.3	0.05	-2068927	4	Akosombo, Ghana (general), Ghana	GH	GH00	190612	6.3	0.05	-2068927	4	Akosombo, Ghana (general), Ghana	GH	GH00	190612	6.3	0.05	-2068927	20220810144500	https://allafrica.com/stories/202208100562.html
1058042560	20210810	202108	2021	2021.6027	IND	DELHI	IND																		1	1712	171	17	4	-9.2	5	1	5	-9.49152542372881	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220810144500	https://economictimes.indiatimes.com/news/india/delhi-sees-rise-in-heinous-crimes-reports-3140-cases-till-jul-2022/articleshow/93483218.cms
1058042561	20220711	202207	2022	2022.5233											IRL	CORK	IRL								1	040	040	04	1	1.0	10	1	10	0	0								0								0								20220810144500	https://www.irishexaminer.com/farming/arid-40937081.html
1058042562	20220711	202207	2022	2022.5233											IRL	CORK	IRL								1	046	046	04	1	7.0	10	1	10	0	0								0								0								20220810144500	https://www.irishexaminer.com/farming/arid-40937081.html
1058042563	20220711	202207	2022	2022.5233	CHN	CHINA	CHN								TWN	TAIWAN	TWN								1	111	111	11	3	-2.0	1	1	1	-3.01003344481606	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20220810144500	https://www.politico.eu/article/liz-truss-summons-chinese-ambassador/
