1058105044	20210810	202108	2021	2021.6027											MED	MAGAZINE						MED			1	042	042	04	1	1.9	6	1	6	-0.268096514745305	0								4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	20220810231500	https://www.theguardian.com/politics/2022/aug/10/nicola-sturgeon-says-liz-truss-asked-her-how-to-get-into-vogue
1058105045	20210810	202108	2021	2021.6027	EDU	SCHOOL						EDU			USA	COLORADO	USA								0	043	043	04	1	2.8	10	1	10	-1.42180094786729	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20220810231500	https://gazette.com/news/education/colorado-schools-should-take-layered-approach-to-covid-19-prevention-state-says/article_7baf9380-18fa-11ed-89a2-df7f80de95a9.html
1058105046	20210810	202108	2021	2021.6027	GBR	UNITED KINGDOM	GBR								MED	MAGAZINE						MED			1	042	042	04	1	1.9	4	1	4	-0.268096514745305	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	20220810231500	https://www.theguardian.com/politics/2022/aug/10/nicola-sturgeon-says-liz-truss-asked-her-how-to-get-into-vogue
1058105047	20210810	202108	2021	2021.6027	IND	KERALA	IND								JUD	SPECIAL COURT						JUD			0	081	081	08	2	5.0	10	1	10	-8.41836734693881	0								0								0								20220810231500	https://www.bignewsnetwork.com/news/272650097/walayar-minor-sisters-rape-death-case-kerala-pocso-court-rejects-cbi-chargesheet-orders-re-investigation
1058105048	20210810	202108	2021	2021.6027	MED	MAGAZINE						MED													1	043	043	04	1	2.8	6	1	6	-0.268096514745305	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	0								4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	20220810231500	https://www.theguardian.com/politics/2022/aug/10/nicola-sturgeon-says-liz-truss-asked-her-how-to-get-into-vogue
1058105049	20210810	202108	2021	2021.6027	MED	MAGAZINE						MED			GBR	UNITED KINGDOM	GBR								1	043	043	04	1	2.8	4	1	4	-0.268096514745305	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	20220810231500	https://www.theguardian.com/politics/2022/aug/10/nicola-sturgeon-says-liz-truss-asked-her-how-to-get-into-vogue
1058105050	20220711	202207	2022	2022.5233											GBR	UNITED KINGDOM	GBR								1	043	043	04	1	2.8	4	1	4	-0.43668122270742	0								4	Brize Norton, Oxfordshire, United Kingdom	UK	UKK2	40127	51.7667	-1.56667	-2590939	4	Brize Norton, Oxfordshire, United Kingdom	UK	UKK2	40127	51.7667	-1.56667	-2590939	20220810231500	https://www.theguardian.com/culture/2022/aug/10/jerry-hall-asks-judges-to-cancel-divorce-petition-against-rupert-murdoch-reports
1058105051	20220711	202207	2022	2022.5233											USA	UNITED STATES	USA								1	043	043	04	1	2.8	2	1	2	-0.43668122270742	0								2	California, United States	US	USCA		36.17	-119.746	CA	4	Brize Norton, Oxfordshire, United Kingdom	UK	UKK2	40127	51.7667	-1.56667	-2590939	20220810231500	https://www.theguardian.com/culture/2022/aug/10/jerry-hall-asks-judges-to-cancel-divorce-petition-against-rupert-murdoch-reports
1058105052	20220711	202207	2022	2022.5233	GBR	UNITED KINGDOM	GBR																		1	042	042	04	1	1.9	4	1	4	-0.43668122270742	4	Brize Norton, Oxfordshire, United Kingdom	UK	UKK2	40127	51.7667	-1.56667	-2590939	0								4	Brize Norton, Oxfordshire, United Kingdom	UK	UKK2	40127	51.7667	-1.56667	-2590939	20220810231500	https://www.theguardian.com/culture/2022/aug/10/jerry-hall-asks-judges-to-cancel-divorce-petition-against-rupert-murdoch-reports
1058105053	20220711	202207	2022	2022.5233	RUS	RUSSIA	RUS								RUSGOV	RUSSIA	RUS					GOV			1	112	112	11	3	-2.0	1	1	1	-7.82241014799154	1	Ukraine	UP	UP		49	32	UP	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	1	Ukraine	UP	UP		49	32	UP	20220810231500	https://www.washingtontimes.com:443/news/2022/aug/10/marina-ovsyannikova-russian-journalist-detained-ch/
