1058078345	20120812	201208	2012	2012.6082	USA	AMERICAN	USA																		1	010	010	01	1	0.0	7	1	7	-3.58306188925081	3	San Francisco, California, United States	US	USCA	CA075	37.7749	-122.419	277593	0								3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	20220810191500	https://www.sfchronicle.com/bayarea/article/Walgreens-can-be-held-responsible-for-its-role-in-17364642.php
1058078346	20210810	202108	2021	2021.6027											MNCCAN	TESCO	CAN					MNC			1	042	042	04	1	1.9	2	1	2	-5.31697341513292	0								4	Exeter, Devon, United Kingdom	UK	UKD4	40104	50.7	-3.53333	-2595805	4	Exeter, Devon, United Kingdom	UK	UKD4	40104	50.7	-3.53333	-2595805	20220810191500	https://www.cambstimes.co.uk/news/crime/louis-thorold-death-trial-jury-out-9203802
1058078347	20210810	202108	2021	2021.6027	CHN	CHINA	CHN								BUS	BUSINESS						BUS			0	014	014	01	1	0.0	4	1	4	-0.41407867494824	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220810191500	https://www.gamesindustry.biz/unity-revenues-up-modestly-as-losses-mount-in-q2
1058078348	20210810	202108	2021	2021.6027	GBR	UNITED KINGDOM	GBR																		0	010	010	01	1	0.0	1	1	1	-1.40646976090014	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220810191500	https://www.etonline.com/olivia-wilde-responds-to-jason-sudeikis-custody-docs-says-she-was-served-in-most-aggressive-manner
1058078349	20210810	202108	2021	2021.6027	GBR	UNITED KINGDOM	GBR								MNCCAN	TESCO	CAN					MNC			1	042	042	04	1	1.9	4	1	4	-5.31697341513292	4	Exeter, Devon, United Kingdom	UK	UKD4	40104	50.7	-3.53333	-2595805	4	Exeter, Devon, United Kingdom	UK	UKD4	40104	50.7	-3.53333	-2595805	4	Exeter, Devon, United Kingdom	UK	UKD4	40104	50.7	-3.53333	-2595805	20220810191500	https://www.cambstimes.co.uk/news/crime/louis-thorold-death-trial-jury-out-9203802
1058078350	20210810	202108	2021	2021.6027	GBR	UNITED KINGDOM	GBR								MNCCAN	TESCO	CAN					MNC			1	042	042	04	1	1.9	4	1	4	-5.31697341513292	4	Waterbeach, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2667	0.2	-2610968	4	Waterbeach, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2667	0.2	-2610968	4	Waterbeach, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2667	0.2	-2610968	20220810191500	https://www.cambstimes.co.uk/news/crime/louis-thorold-death-trial-jury-out-9203802
1058078351	20210810	202108	2021	2021.6027	PAKMIL	PAKISTAN	PAK					MIL													1	111	111	11	3	-2.0	4	1	4	-3.19634703196347	4	Lasbela, Balochistan, Pakistan	PK	PK02	23622	26.2271	66.3111	-2756353	0								4	Lasbela, Balochistan, Pakistan	PK	PK02	23622	26.2271	66.3111	-2756353	20220810191500	https://www.dawn.com/news/1704141/shahbaz-gills-statement-unacceptable-crossed-every-line-khawaja-asif
1058078352	20210810	202108	2021	2021.6027	PAKMIL	PAKISTAN	PAK					MIL													1	111	111	11	3	-2.0	6	1	6	-3.19634703196347	1	Afghanistan	AF	AF		33	66	AF	0								1	Afghanistan	AF	AF		33	66	AF	20220810191500	https://www.dawn.com/news/1704141/shahbaz-gills-statement-unacceptable-crossed-every-line-khawaja-asif
1058078353	20220711	202207	2022	2022.5233											BUS	BUSINESS						BUS			0	057	057	05	1	8.0	10	1	10	3.4375	0								4	Yokohama, Kanagawa, Japan	JA	JA19	34853	35.45	139.65	-248593	4	Yokohama, Kanagawa, Japan	JA	JA19	34853	35.45	139.65	-248593	20220810191500	https://www.ship-technology.com/news/keihin-dock-nyk-line-tugboat/
1058078354	20220711	202207	2022	2022.5233	BUS	BUSINESS						BUS													0	057	057	05	1	8.0	10	1	10	3.4375	4	Yokohama, Kanagawa, Japan	JA	JA19	34853	35.45	139.65	-248593	0								4	Yokohama, Kanagawa, Japan	JA	JA19	34853	35.45	139.65	-248593	20220810191500	https://www.ship-technology.com/news/keihin-dock-nyk-line-tugboat/
