1058044360	20210810	202108	2021	2021.6027											LAB	EMPLOYEE						LAB			0	190	190	19	4	-10.0	1	1	1	-5.09615384615384	0								3	New Orleans, Louisiana, United States	US	USLA		29.9546	-90.0751	1629985	3	New Orleans, Louisiana, United States	US	USLA		29.9546	-90.0751	1629985	20220810150000	https://www.theadvertiser.com/story/news/local/louisiana/2022/08/10/louisiana-juvenile-justice-job-applicants-dodge-sexual-abuse-screening/10285716002/
1058044361	20210810	202108	2021	2021.6027	BUS	CORPORATION						BUS													1	070	070	07	2	7.0	8	1	8	0.68775790921596	1	Ukraine	UP	UP		49	32	UP	0								1	Ukraine	UP	UP		49	32	UP	20220810150000	https://www.business-standard.com/article/markets/markets-up-but-demat-openings-moderate-in-july-in-continuing-trend-122081001184_1.html
1058044362	20210810	202108	2021	2021.6027	IND	BOMBAY	IND								JUD	HIGH COURT						JUD			0	100	100	10	3	-5.0	2	1	2	-4.39932318104907	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	20220810150000	https://www.business-standard.com/article/politics/bhima-koregaon-case-sc-grants-bail-to-p-vararara-rao-on-medical-grounds-122081001011_1.html
1058044363	20210810	202108	2021	2021.6027	INDJUD	BOMBAY	IND					JUD													0	100	100	10	3	-5.0	2	1	2	-4.39932318104907	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	0								4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20220810150000	https://www.business-standard.com/article/politics/bhima-koregaon-case-sc-grants-bail-to-p-vararara-rao-on-medical-grounds-122081001011_1.html
1058044364	20210810	202108	2021	2021.6027	JUD	HIGH COURT						JUD													0	100	100	10	3	-5.0	4	1	4	-4.39932318104907	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	0								4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20220810150000	https://www.business-standard.com/article/politics/bhima-koregaon-case-sc-grants-bail-to-p-vararara-rao-on-medical-grounds-122081001011_1.html
1058044365	20210810	202108	2021	2021.6027	RUS	RUSSIAN FEDERATION	RUS								EST	ESTONIAN	EST								1	150	150	15	4	-7.2	6	1	6	-2.85714285714286	1	Russia	RS	RS		60	100	RS	4	Koidula, Põmaa, Estonia	EN	EN12	16044	57.8386	27.5919	25800	4	Koidula, Põmaa, Estonia	EN	EN12	16044	57.8386	27.5919	25800	20220810150000	https://news.err.ee/1608681175/russian-helicopter-violates-estonian-airspace-in-koidula-region
1058044366	20210810	202108	2021	2021.6027	RUS	RUSSIA	RUS								EST	ESTONIA	EST								1	150	150	15	4	-7.2	1	1	1	-2.85714285714286	1	Russia	RS	RS		60	100	RS	4	Koidula, Põmaa, Estonia	EN	EN12	16044	57.8386	27.5919	25800	1	Russia	RS	RS		60	100	RS	20220810150000	https://news.err.ee/1608681175/russian-helicopter-violates-estonian-airspace-in-koidula-region
1058044367	20210810	202108	2021	2021.6027	UKR	UKRAINE	UKR								BUS	CORPORATION						BUS			1	070	070	07	2	7.0	2	1	2	0.68775790921596	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20220810150000	https://www.business-standard.com/article/markets/markets-up-but-demat-openings-moderate-in-july-in-continuing-trend-122081001184_1.html
1058044368	20210810	202108	2021	2021.6027	USA	UNITED STATES	USA								LAB	EMPLOYEE						LAB			0	190	190	19	4	-10.0	2	1	2	-5.09615384615384	3	New Orleans, Louisiana, United States	US	USLA	LA071	29.9546	-90.0751	1629985	3	New Orleans, Louisiana, United States	US	USLA		29.9546	-90.0751	1629985	3	New Orleans, Louisiana, United States	US	USLA		29.9546	-90.0751	1629985	20220810150000	https://www.theadvertiser.com/story/news/local/louisiana/2022/08/10/louisiana-juvenile-justice-job-applicants-dodge-sexual-abuse-screening/10285716002/
1058044369	20210810	202108	2021	2021.6027	USA	UNITED STATES	USA								LAB	EMPLOYEE						LAB			0	190	190	19	4	-10.0	2	1	2	-5.09615384615384	3	Acadiana, Louisiana, United States	US	USLA	LA033	30.4463	-91.1126	559343	3	Acadiana, Louisiana, United States	US	USLA	LA033	30.4463	-91.1126	559343	3	Acadiana, Louisiana, United States	US	USLA	LA033	30.4463	-91.1126	559343	20220810150000	https://www.theadvertiser.com/story/news/local/louisiana/2022/08/10/louisiana-juvenile-justice-job-applicants-dodge-sexual-abuse-screening/10285716002/
1058044370	20220711	202207	2022	2022.5233											UKR	DONETSK	UKR								1	192	192	19	4	-9.5	2	1	2	-0.31948881789137	0								4	Donbas, Ukraine (general), Ukraine	UP	UP00	25090	48.5	38.5	-1038077	1	United States	US	US		39.828175	-98.5795	US	20220810150000	http://www.msn.com/en-us/news/world/russia-almost-certainly-has-established-major-new-ground-force-to-fight-in-ukraine-uk-intelligence/ar-AA10whbA
1058044371	20220711	202207	2022	2022.5233	CAN	CANADA	CAN																		0	125	125	12	3	-5.0	3	1	3	3.25765054294175	1	Canada	CA	CA		60	-96	CA	0								1	Canada	CA	CA		60	-96	CA	20220810150000	https://www.wyomingnews.com/laramieboomerang/laramieboomerang/news/wyo-school-district-plans-peer-led-suicide-prevention/article_8c0f5adc-b7a6-5396-9913-6aa78abaa009.html
