1058033674	20210810	202108	2021	2021.6027	HLH	NURSE						HLH			THA	BANGKOK	THA								1	090	090	09	2	-2.0	14	1	8	0.66225165562914	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20220810134500	https://www.bangkokpost.com/thailand/general/2365666/hospitel-hotel-isolation-may-end-next-month
1058033675	20210810	202108	2021	2021.6027	IGOUNODEV	UNESCO		UNO				IGO	DEV												0	020	020	02	1	3.0	10	1	10	-0.79207920792079	4	Parthenon, Perifereia Kentrikis Makedonias, Greece	GR	GR59	16697	40.1167	23.8167	-825722	0								4	Parthenon, Perifereia Kentrikis Makedonias, Greece	GR	GR59	16697	40.1167	23.8167	-825722	20220810134500	https://us.blastingnews.com/opinion/2022/08/brits-offer-to-share-parthenon-marbles-with-greece-003521284.html
1058033676	20210810	202108	2021	2021.6027	MOS	MUSLIM				MOS					USA	NEW MEXICO	USA								0	190	190	19	4	-10.0	7	1	7	-8.59872611464968	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	20220810134500	https://www.forbes.com/sites/brianbushard/2022/08/10/suspect-arrested-in-murders-of-4-muslim-men-in-albuquerque-police-say/
1058033677	20210810	202108	2021	2021.6027	RWA	RWANDA	RWA								AFRCVL	AFRICA	AFR					CVL			1	084	084	08	2	7.0	10	1	10	4.22960725075529	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	20220810134500	https://www.capitalfm.co.ke/business/2022/08/bank-of-kigali-books-sh926mn-new-diaspora-customer-deposits-in-four-months/
1058033678	20210810	202108	2021	2021.6027	THA	THAILAND	THA								HLH	NURSE						HLH			1	090	090	09	2	-2.0	4	1	4	0.66225165562914	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20220810134500	https://www.bangkokpost.com/thailand/general/2365666/hospitel-hotel-isolation-may-end-next-month
1058033679	20210810	202108	2021	2021.6027	USA	NEW MEXICO	USA								MOS	MUSLIM				MOS					0	190	190	19	4	-10.0	7	1	7	-8.59872611464968	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	20220810134500	https://www.forbes.com/sites/brianbushard/2022/08/10/suspect-arrested-in-murders-of-4-muslim-men-in-albuquerque-police-say/
1058033680	20220711	202207	2022	2022.5233	USA	ROCHESTER	USA																		0	1724	172	17	4	-5.0	10	1	10	-5.99571734475375	0								0								0								20220810134500	https://www.democratandchronicle.com/story/news/2022/08/10/man-killed-on-roycroft-drive-rochester-ny-third-homicide-in-3-days/65398231007/
1058033681	20220803	202208	2022	2022.5836	CHN	CHINA	CHN								MNCUSAMED	MOTOROLA	USA					MNC	MED		1	043	043	04	1	2.8	6	1	6	-0.79575596816976	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220810134500	https://www.bgr.in/mobiles/motorola-razr-2022-price-confirmed-ahead-of-tomorrows-launch-1308717/
1058033682	20220803	202208	2022	2022.5836	CHN	CHINA	CHN								MNCUSAMED	MOTOROLA	USA					MNC	MED		1	043	043	04	1	2.8	2	1	2	-0.79575596816976	1	China	CH	CH		35	105	CH	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20220810134500	https://www.bgr.in/mobiles/motorola-razr-2022-price-confirmed-ahead-of-tomorrows-launch-1308717/
1058033683	20220803	202208	2022	2022.5836	CHN	CHINA	CHN								MNCUSAMED	MOTOROLA	USA					MNC	MED		1	043	043	04	1	2.8	2	1	2	-0.79575596816976	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20220810134500	https://www.bgr.in/mobiles/motorola-razr-2022-price-confirmed-ahead-of-tomorrows-launch-1308717/
1058033684	20220803	202208	2022	2022.5836	COP	POLICE						COP													1	011	011	01	1	-0.1	3	1	3	-5.60344827586207	2	New Hampshire, United States	US	USNH		43.4108	-71.5653	NH	0								2	New Hampshire, United States	US	USNH		43.4108	-71.5653	NH	20220810134500	https://www.cbsnews.com/boston/news/kassandra-sweeney-shooting-deaths-northfield-new-hampshire-evidence-search-route-93/
1058033685	20220803	202208	2022	2022.5836	COP	POLICE						COP			USA	UNITED STATES	USA								1	011	011	01	1	-0.1	2	1	2	-5.60344827586207	2	New Hampshire, United States	US	USNH		43.4108	-71.5653	NH	2	New Hampshire, United States	US	USNH		43.4108	-71.5653	NH	2	New Hampshire, United States	US	USNH		43.4108	-71.5653	NH	20220810134500	https://www.cbsnews.com/boston/news/kassandra-sweeney-shooting-deaths-northfield-new-hampshire-evidence-search-route-93/
1058033686	20220803	202208	2022	2022.5836	IGOUNO	THE UN		UNO				IGO			LAB	TRADE UNION						LAB			0	173	173	17	4	-5.0	3	1	3	-8.46613545816734	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	20220810134500	https://www.wiredprnews.com/end-protest-crackdown-un-rights-groups-tell-sri-lanka-president-protests-news/
1058033687	20220803	202208	2022	2022.5836	LKA	SRI LANKA	LKA								LAB	TRADE UNION						LAB			0	173	173	17	4	-5.0	2	1	2	-8.46613545816734	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	20220810134500	https://www.wiredprnews.com/end-protest-crackdown-un-rights-groups-tell-sri-lanka-president-protests-news/
1058033688	20220803	202208	2022	2022.5836	MNCUSAMED	MOTOROLA	USA					MNC	MED		CHN	CHINA	CHN								1	042	042	04	1	1.9	10	1	10	-0.79575596816976	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220810134500	https://www.bgr.in/mobiles/motorola-razr-2022-price-confirmed-ahead-of-tomorrows-launch-1308717/
1058033689	20220803	202208	2022	2022.5836	NGA	NIGERIA	NGA								PTY	PRESIDENTIAL CANDIDATE									0	010	010	01	1	0.0	2	1	2	0.32608695652174	4	Enugu, Enugu, Nigeria	NI	NI47	191302	6.4402	7.4943	-2006530	4	Enugu, Enugu, Nigeria	NI	NI47	191302	6.4402	7.4943	-2006530	4	Enugu, Enugu, Nigeria	NI	NI47	191302	6.4402	7.4943	-2006530	20220810134500	https://www.premiumtimesng.com/news/top-news/547924-pdp-chieftain-condemns-those-mocking-tinubus-health.html
1058033690	20220803	202208	2022	2022.5836	NGA	NIGERIA	NGA								PTY	PRESIDENTIAL CANDIDATE									0	010	010	01	1	0.0	2	1	2	0.32608695652174	4	Enugu, Enugu, Nigeria	NI	NI47	191302	6.4402	7.4943	-2006530	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Enugu, Enugu, Nigeria	NI	NI47	191302	6.4402	7.4943	-2006530	20220810134500	https://www.premiumtimesng.com/news/top-news/547924-pdp-chieftain-condemns-those-mocking-tinubus-health.html
1058033691	20220803	202208	2022	2022.5836	PTY	PRESIDENTIAL CANDIDATE																			0	010	010	01	1	0.0	6	1	6	0.32608695652174	4	Enugu, Enugu, Nigeria	NI	NI47	191302	6.4402	7.4943	-2006530	0								4	Enugu, Enugu, Nigeria	NI	NI47	191302	6.4402	7.4943	-2006530	20220810134500	https://www.premiumtimesng.com/news/top-news/547924-pdp-chieftain-condemns-those-mocking-tinubus-health.html
1058033692	20220803	202208	2022	2022.5836	USA	AMERICAN	USA								COP	PRISON						COP			0	173	173	17	4	-5.0	2	1	2	-7.36196319018405	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	1	Russia	RS	RS		60	100	RS	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20220810134500	https://www.investing.com/news/world-news/biden-urges-syria-to-secure-missing-us-journalists-return-2869285
1058033693	20220803	202208	2022	2022.5836	USA	UNITED STATES	USA								RUS	RUSSIA	RUS								0	173	173	17	4	-5.0	1	1	1	-7.36196319018405	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	1	Russia	RS	RS		60	100	RS	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20220810134500	https://www.investing.com/news/world-news/biden-urges-syria-to-secure-missing-us-journalists-return-2869285
1058033694	20220803	202208	2022	2022.5836	USA	UNITED STATES	USA								RUS	RUSSIA	RUS								0	173	173	17	4	-5.0	1	1	1	-7.36196319018405	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20220810134500	https://www.investing.com/news/world-news/biden-urges-syria-to-secure-missing-us-journalists-return-2869285
1058033695	20220810	202208	2022	2022.6027											AGR	FARMER						AGR			1	043	043	04	1	2.8	10	1	10	-0.82644628099174	0								5	North Yorkshire, North Yorkshire, United Kingdom	UK	UKJ7	40123	54.1667	-1.5	-2604430	5	North Yorkshire, North Yorkshire, United Kingdom	UK	UKJ7	40123	54.1667	-1.5	-2604430	20220810134500	https://www.fwi.co.uk/business/markets-and-trends/meat-prices/tentative-recovery-for-liveweight-lamb-prices-after-big-fall
